"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"59590",2401,"873","",3,"","",""
"59589",2401,"872","",3,"","",""
"59588",2401,"871","",3,"","",""
"59587",2401,"869","",3,"","",""
"59586",2401,"859","",3,"","",""
"59584",2401,"857","",3,"","",""
"59583",2401,"856","",3,"","",""
"59582",2401,"855","",3,"","",""
"59581",2401,"854","",3,"","",""
"59579",2401,"852","",3,"","",""
"59578",2401,"851","",3,"","",""
"59577",2401,"806","",3,"","",""
"59576",2401,"805","",3,"","",""
"59575",2401,"803","",3,"","",""
"59574",2401,"802","",3,"","",""
"59573",2401,"801","",3,"","",""
"59553",2401,"686","",3,"","",""
"59552",2401,"685","",3,"","",""
"59551",2401,"683","",3,"","",""
"59550",2401,"682","",3,"","",""
"59549",2401,"681","",3,"","",""
"59548",2401,"680","",3,"","",""
"59547",2401,"677","",3,"","",""
"59546",2401,"666","",3,"","",""
"59545",2401,"663","",3,"","",""
"59544",2401,"662","",3,"","",""
"59543",2401,"661","",3,"","",""
"59542",2401,"660","",3,"","",""
"59541",2401,"659","",3,"","",""
"59540",2401,"658","",3,"","",""
"59539",2401,"657","",3,"","",""
"59538",2401,"656","",3,"","",""
"59537",2401,"654","",3,"","",""
"59536",2401,"650","",3,"","",""
"59535",2401,"645","",3,"","",""
"59534",2401,"644","",3,"","",""
"59533",2401,"643","",3,"","",""
"59532",2401,"642","",3,"","",""
"59531",2401,"641","",3,"","",""
"59529",2401,"N87","",3,"","",""
"59524",2401,"N68","",3,"","",""
"59523",2401,"N62","",3,"","",""
"58313",2403,"931","",3,"","",""
"58312",2403,"291","",3,"","",""
"51756",2403,"288","",3,"","",""
"50174",403,"8","",3,"","",""
"50173",556,"6","",3,"","",""
"50172",556,"5","",3,"","",""
"48783",615,"N66","",3,"","",""
"47489",2403,"284","",3,"","",""
"46837",2403,"282","",3,"","",""
"37818",2403,"269","",3,"","",""
"37535",2403,"289","",3,"","",""
"37534",2403,"287","",3,"","",""
"37533",2403,"286","",3,"","",""
"37532",2403,"285","",3,"","",""
"37531",2403,"280","",3,"","",""
"37529",2403,"278","",3,"","",""
"37528",2403,"277","",3,"","",""
"37526",2403,"275","",3,"","",""
"37522",2403,"270","",3,"","",""
"37521",2403,"268","",3,"","",""
"37520",2403,"267","",3,"","",""
"37519",2403,"266","",3,"","",""
"37516",2403,"262","",3,"","",""
"37515",2403,"261","",3,"","",""
"37514",2403,"260","",3,"","",""
"25734",556,"4","",3,"","",""
"25733",556,"3","",3,"","",""
"25732",556,"2","",3,"","",""
"25731",556,"1","",3,"","",""
"20387",403,"7","",3,"","",""
"19569",403,"5","",3,"","",""
"19568",403,"3","",3,"","",""
"19567",403,"2","",3,"","",""
"19566",403,"1","",3,"","",""
"19123",411,"673","",3,"","",""
"19122",411,"672","",3,"","",""
"19121",411,"671","",3,"","",""
"18719",396,"670","",3,"","",""
